[erp][INFO] [2019-09-26 09:37:35] org.hibernate.validator.internal.util.Version.<clinit>(21) | HV000001: Hibernate Validator 6.0.10.Final
  [erp][INFO] [2019-09-26 09:37:46] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(547) | Mapped "{[/post/CommonController/downloadFileByJsonData]}" onto public void com.skyeye.controller.CommonController.downloadFileByJsonData(com.skyeye.common.object.InputObject,com.skyeye.common.object.OutputObject) throws java.lang.Exception
  [erp][INFO] [2019-09-26 09:37:46] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(547) | Mapped "{[/post/CommonController/queryDepartmentPeopleToTreeByUserBelongDepartment]}" onto public void com.skyeye.controller.CommonController.queryDepartmentPeopleToTreeByUserBelongDepartment(com.skyeye.common.object.InputObject,com.skyeye.common.object.OutputObject) throws java.lang.Exception
  [erp][INFO] [2019-09-26 09:37:46] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(547) | Mapped "{[/post/CommonController/querySimpleDepPeopleToTreeByUserBelongSimpleDep]}" onto public void com.skyeye.controller.CommonController.querySimpleDepPeopleToTreeByUserBelongSimpleDep(com.skyeye.common.object.InputObject,com.skyeye.common.object.OutputObject) throws java.lang.Exception
  [erp][INFO] [2019-09-26 09:37:46] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(547) | Mapped "{[/post/CommonController/queryCompanyPeopleToTreeByUserBelongCompany]}" onto public void com.skyeye.controller.CommonController.queryCompanyPeopleToTreeByUserBelongCompany(com.skyeye.common.object.InputObject,com.skyeye.common.object.OutputObject) throws java.lang.Exception
  [erp][INFO] [2019-09-26 09:37:46] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(547) | Mapped "{[/post/CommonController/queryJobPeopleToTreeByUserBelongJob]}" onto public void com.skyeye.controller.CommonController.queryJobPeopleToTreeByUserBelongJob(com.skyeye.common.object.InputObject,com.skyeye.common.object.OutputObject) throws java.lang.Exception
  [erp][INFO] [2019-09-26 09:37:46] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(547) | Mapped "{[/post/CompanyChatController/getList]}" onto public void com.skyeye.controller.CompanyChatController.getList(com.skyeye.common.object.InputObject,com.skyeye.common.object.OutputObject) throws java.lang.Exception
  [erp][INFO] [2019-09-26 09:37:46] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(547) | Mapped "{[/post/CompanyChatController/editUserSignByUserId]}" onto public void com.skyeye.controller.CompanyChatController.editUserSignByUserId(com.skyeye.common.object.InputObject,com.skyeye.common.object.OutputObject) throws java.lang.Exception
  [erp][INFO] [2019-09-26 09:37:46] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(547) | Mapped "{[/post/CompanyDepartmentController/queryCompanyDepartmentList]}" onto public void com.skyeye.controller.CompanyDepartmentController.queryCompanyDepartmentList(com.skyeye.common.object.InputObject,com.skyeye.common.object.OutputObject) throws java.lang.Exception
  [erp][INFO] [2019-09-26 09:37:46] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(547) | Mapped "{[/post/CompanyDepartmentController/insertCompanyDepartmentMation]}" onto public void com.skyeye.controller.CompanyDepartmentController.insertCompanyDepartmentMation(com.skyeye.common.object.InputObject,com.skyeye.common.object.OutputObject) throws java.lang.Exception
  [erp][INFO] [2019-09-26 09:37:46] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(547) | Mapped "{[/post/CompanyDepartmentController/editCompanyDepartmentMationById]}" onto public void com.skyeye.controller.CompanyDepartmentController.editCompanyDepartmentMationById(com.skyeye.common.object.InputObject,com.skyeye.common.object.OutputObject) throws java.lang.Exception
